state,city_brochure,brochure_ref,latitude,longitude,probable_center_1,center_1_address,center_1_evidence,probable_center_2,center_2_address,center_2_evidence,confidence,is_new_2025,was_in_2024,tcs_ion_confirmed,has_barch_college,notes,city_population_tier,year
Andaman & Nicobar,Port Blair,,11.6234,92.7265,Dr. B.R. Ambedkar Institute of Technology,"Port Blair, A&N Islands",Only major technical institute on island,Jawaharlal Nehru Rajkeeya Mahavidyalaya,Port Blair,Govt college with computer labs,LOW,False,True,False,False,Limited infrastructure options,Tier-3,2025
Andhra Pradesh,Guntur and Vijayawada,1.1,16.3067,80.4365,"iON Digital Zone – Universal College of Engg & Tech, Perecherla","Perecherla, Narasaraopeta Road, Guntur-522438",TCS iON confirmed address,"KL University (KLEF), Vaddeswaram","Green Fields, Vaddeswaram, Guntur Dist.",Major private university; NATA-accepting,MEDIUM,False,True,True,True,Merged city pair in 2025,Tier-2,2025
Andhra Pradesh,Visakhapatnam,1.2,17.6868,83.2185,"iON Digital Zone – Icon Krishi Hospitals, Sheela Nagar","32-12-329/5, Sheela Nagar, Visakhapatnam-530012",TCS iON confirmed address,Andhra University College of Engineering,Visakhapatnam-530003,Top public university; accepts NATA,MEDIUM,False,True,True,True,,Tier-1,2025
Andhra Pradesh,Kadapa,1.3,14.4674,78.8241,Rajiv Gandhi University of Knowledge Technologies (RGUKT),"RGUKT Campus, Kadapa, AP",Major tech institution in Kadapa,"JNTUA College of Engineering, Pulivendula","Pulivendula, YSR District",JNTU affiliate nearby,LOW,True,False,False,False,New city in 2025,Tier-3,2025
Assam,Guwahati,2.1,26.1445,91.7362,"iON Digital Zone – e-COM Tower, Borjhar","e-COM Tower, 3rd/4th Floor, VIP Road, Opp St Claret School, Borjhar, Guwahati-781015",TCS iON confirmed address,Assam Engineering College,"Jalukbari, Guwahati-781013",Oldest engineering college in NE India,MEDIUM,False,True,True,False,,Tier-1,2025
Bihar,Gaya,3.1,24.7955,84.9994,Sityog Institute of Technology,"Industrial Growth Centre, Jasoiya More, Aurangabad/Gaya, Bihar",TCS iON nearby (Aurangabad Bihar),Buddha Institute of Technology,"Gaya, Bihar",Local engineering college,LOW,False,True,False,False,Only Bihar city retained in 2025,Tier-3,2025
Chhattisgarh,Raipur,4.1,21.2514,81.6296,"iON Digital Zone – Parthivi Province, Sarona","Parthivi Province, Commercial Complex, Ward No.70, Sarona, Raipur-492099",TCS iON confirmed address,NIT Raipur,"GE Road, Raipur-492010",Premier national institute,MEDIUM,False,True,True,False,,Tier-2,2025
Delhi,New Delhi,5.1,28.5355,77.241,iON Digital Zone – Mohan Coop Industrial Estate,"A27, Mohan Cooperative Industrial Estate, Near Sarita Vihar Metro, New Delhi-110044",TCS iON confirmed address,School of Planning & Architecture (SPA),"4, Block-B, Indraprastha Estate, New Delhi-110002",Premier architecture institute,HIGH,False,True,True,True,"Major metro, likely multiple centers",Metro,2025
Goa,Panaji,6.1,15.4909,73.8278,"iON Digital Zone – The Tristar, Pato Plaza","The Tristar, 1st Floor, 13B EDC Complex, Pato Plaza, Panaji-403001",TCS iON confirmed address,Goa College of Architecture,"Altinho, Panaji, Goa-403001",Only architecture college in Goa,MEDIUM,False,True,True,True,,Tier-2,2025
Gujarat,Ahmedabad,7.1,23.0225,72.5714,"iON Digital Zone – Hallmark Club, Bopal","Hallmark Club, Opp Tulip School, Sterling City, Bopal, Ahmedabad-380058",TCS iON confirmed address,CEPT University,"Kasturbhai Lalbhai Campus, Navrangpura, Ahmedabad-380009",Top architecture school,MEDIUM,False,True,True,True,,Metro,2025
